Harbour function list sorted by lib and name
from:
http://www.elektrosoft.it/tutorials/Harbour-Reference-Guide/harbour-complete-functions-list.htm


lista de todas las funciones de harbour ordenadas por lib y nombre
obtenidas desde:
http://www.elektrosoft.it/tutorials/Harbour-Reference-Guide/harbour-complete-functions-list.htm


Contrib     Description
Wvt_SetMenuKeyEvent                               gtwvg
Wvt_SetMouseMove                                  gtwvg
Wvt_SetMousePos                                   gtwvg
Wvt_SetOnTop                                      gtwvg
Wvt_SetPalette                                    gtwvg
Wvt_SetPen                                        gtwvg
Wvt_SetPointer                                    gtwvg
Wvt_SetPopupMenu                                  gtwvg
Wvt_SetTimer                                      gtwvg
Wvt_SetTitle                                      gtwvg
Wvt_SetToolTip                                    gtwvg
Wvt_SetToolTipActive                              gtwvg
Wvt_SetToolTipBkColor                             gtwvg
Wvt_SetToolTipMargin                              gtwvg
Wvt_SetToolTipText                                gtwvg
Wvt_SetToolTipTextColor                           gtwvg
Wvt_SetToolTipTitle                               gtwvg
Wvt_SetToolTipWidth                               gtwvg
Wvt_SetWindowPos                                  gtwvg
Wvt_Show                                          gtwvg
Wvt_ShowWindow                                    gtwvg
Wvt_TrackPopupMenu                                gtwvg
Wvt_Update                                        gtwvg
Wvt_Utils                                         gtwvg
Wvt_WindowCentre                                  gtwvg
Wvt__MakeDlgTemplate                              gtwvg


AAdd                                              harbour
AChoice                                           harbour
AClone                                            harbour
ACopy                                             harbour
ADel                                              harbour
ADir                                              harbour
AEval                                             harbour
AFields                                           harbour
AFill                                             harbour
AIns                                              harbour
AMPM                                              harbour
AScan                                             harbour
ASize                                             harbour
ASort                                             harbour
ATail                                             harbour
Abs                                               harbour
Accelerator                                       harbour
Alert                                             harbour
Alias                                             harbour
AllTrim                                           harbour
AltD                                              harbour
ApplyDefau                                        harbour
Array                                             harbour
Asc                                               harbour
At                                                harbour
Bin2I                                             harbour
Bin2L                                             harbour
Bin2W                                             harbour
Bof                                               harbour
Break                                             harbour
Browse                                            harbour
ButtnDefCo                                        harbour
CDoW                                              harbour
CLIPPER520                                        harbour
CLIPPER530                                        harbour
CMonth                                            harbour
CToD                                              harbour
CheckBox                                          harbour
CheckDefCo                                        harbour
Chr                                               harbour
Col                                               harbour
ColorSelect                                       harbour
ComboDefCo                                        harbour
CurDir                                            harbour
DBFBLOB                                           harbour
DBFCDX                                            harbour
DBFDBT                                            harbour
DBFFPT                                            harbour
DBFNSX                                            harbour
DBFNTX                                            harbour
DBFSMT                                            harbour
DToC                                              harbour
DToS                                              harbour
Date                                              harbour
Day                                               harbour
Days                                              harbour
Dbf                                               harbour
DbgShadow                                         harbour
DefPath                                           harbour
Deleted                                           harbour
Delim                                             harbour
Descend                                           harbour
DevOut                                            harbour
DevOutPict                                        harbour
DevPos                                            harbour
DirChange                                         harbour
DirRemove                                         harbour
Directory                                         harbour
DiskChange                                        harbour
DiskName                                          harbour
DiskSpace                                         harbour
DispBegin                                         harbour
DispBox                                           harbour
DispCount                                         harbour
DispEnd                                           harbour
DispOut                                           harbour
DispOutAt                                         harbour
Do                                                harbour
DoW                                               harbour
DosError                                          harbour
ElapTime                                          harbour
Empty                                             harbour
Eof                                               harbour
EraseGetMsg                                       harbour
ErrorBlock                                        harbour
ErrorInHan                                        harbour
ErrorInHandler                                    harbour
ErrorLevel                                        harbour
ErrorNew                                          harbour
ErrorSys                                          harbour
Eval                                              harbour
Exp                                               harbour
FClose                                            harbour
FCount                                            harbour
FCreate                                           harbour
FErase                                            harbour
FError                                            harbour
FKLabel                                           harbour
FKMax                                             harbour
FLock                                             harbour
FOpen                                             harbour
FRead                                             harbour
FReadStr                                          harbour
FRename                                           harbour
FSeek                                             harbour
FSetDevMod                                        harbour
FWrite                                            harbour
FieldBlock                                        harbour
FieldDec                                          harbour
FieldGet                                          harbour
FieldLen                                          harbour
FieldName                                         harbour
FieldPos                                          harbour
FieldPut                                          harbour
FieldType                                         harbour
FieldWBlock                                       harbour
File                                              harbour
Found                                             harbour
GUIApplyKey                                       harbour
GUIPostValidate                                   harbour
GUIPreValidate                                    harbour
GUIReader                                         harbour
Get                                               harbour
GetActive                                         harbour
GetApplyKey                                       harbour
GetClrBack                                        harbour
GetClrFore                                        harbour
GetClrPair                                        harbour
GetDoSetKey                                       harbour
GetE                                              harbour
GetEnv                                            harbour
GetNew                                            harbour
GetPairLen                                        harbour
GetPairPos                                        harbour
GetPostValidate                                   harbour
GetPreValidate                                    harbour
GetReader                                         harbour
HBCheckBox                                        harbour
HBClass                                           harbour
HBEditor                                          harbour
HBGetList                                         harbour
HBHash                                            harbour
HBHash                                            harbour
HBLabelForm                                       harbour
HBListBox                                         harbour
HBLogical                                         harbour
HBMemoEditor                                      harbour
HBMenuItem                                        harbour
HBMenuSys                                         harbour
HBObject                                          harbour
HBPersistent                                      harbour
HBPointer                                         harbour
HBPopupMenu                                       harbour
HBProfile                                         harbour
HBProfileEntity                                   harbour
HBProfileFunction                                 harbour
HBProfileLowLevel                                 harbour
HBProfileMethod                                   harbour
HBProfileOpcode                                   harbour
HBProfileReport                                   harbour
HBProfileReportToArray                            harbour
HBProfileReportToFile                             harbour
HBProfileReportToString                           harbour
HBProfileReportToTBrowse                          harbour
HBPushButton                                      harbour
HBRadioButton                                     harbour
HBRadioGroup                                      harbour
HBReportForm                                      harbour
HBScalar                                          harbour
HBScrollBar                                       harbour
HBTextLine                                        harbour
HBTopBarMenu                                      harbour
HB_ISARRAY                                        harbour
HB_ISBLOCK                                        harbour
HB_ISCHAR                                         harbour
HB_ISDATE                                         harbour
HB_ISDATETIME                                     harbour
HB_ISEVALITEM                                     harbour
HB_ISHASH                                         harbour
HB_ISHASHKEY                                      harbour
HB_ISLOGICAL                                      harbour
HB_ISMEMO                                         harbour
HB_ISNIL                                          harbour
HB_ISNULL                                         harbour
HB_ISNUMERIC                                      harbour
HB_ISOBJECT                                       harbour
HB_ISPOINTER                                      harbour
HB_ISSTRING                                       harbour
HB_ISSYMBOL                                       harbour
HB_ISTIMESTAMP                                    harbour
HardCR                                            harbour
Header                                            harbour
HitTest                                           harbour
I2Bin                                             harbour
IOUSR_Register                                    harbour
IOUSR_SetError                                    harbour
IndexExt                                          harbour
IndexKey                                          harbour
IndexOrd                                          harbour
Inkey                                             harbour
Int                                               harbour
IsAffirm                                          harbour
IsAlpha                                           harbour
IsColor                                           harbour
IsDefColor                                        harbour
IsDigit                                           harbour
IsDisk                                            harbour
IsLower                                           harbour
IsNegative                                        harbour
IsPrinter                                         harbour
IsQuick                                           harbour
IsShortcut                                        harbour
IsUpper                                           harbour
L2Bin                                             harbour
LTrim                                             harbour
LUpdate                                           harbour
LastKey                                           harbour
LastRec                                           harbour
Left                                              harbour
Len                                               harbour
LenNum                                            harbour
ListBDefCo                                        harbour
ListBox                                           harbour
Lock                                              harbour
Log                                               harbour
Lower                                             harbour
MCol                                              harbour
MDblClk                                           harbour
MHide                                             harbour
MLCToPos                                          harbour
MLCount                                           harbour
MLPos                                             harbour
MLeftDown                                         harbour
MMiddleDown                                       harbour
MPosToLC                                          harbour
MPresent                                          harbour
MRestState                                        harbour
MRightDown                                        harbour
MRow                                              harbour
MSaveState                                        harbour
MSetBounds                                        harbour
MSetCursor                                        harbour
MSetPos                                           harbour
MShow                                             harbour
MakeDir                                           harbour
Max                                               harbour
MaxCol                                            harbour
MaxRow                                            harbour
MemVarBlock                                       harbour
MemoEdit                                          harbour
MemoLine                                          harbour
MemoRead                                          harbour
MemoTran                                          harbour
MemoWrit                                          harbour
Memory                                            harbour
MenuDefCol                                        harbour
MenuItem                                          harbour
MenuModal                                         harbour
Min                                               harbour
Mod                                               harbour
Month                                             harbour
NationMsg                                         harbour
NetErr                                            harbour
NetName                                           harbour
NextKey                                           harbour
NoSnow                                            harbour
OS                                                harbour
OutErr                                            harbour
OutStd                                            harbour
PCol                                              harbour
PCount                                            harbour
PRow                                              harbour
PValue                                            harbour
Pad                                               harbour
PadC                                              harbour
PadL                                              harbour
PadR                                              harbour
Popup                                             harbour
ProcFile                                          harbour
ProcLine                                          harbour
ProcName                                          harbour
PushButton                                        harbour
QOut                                              harbour
QQOut                                             harbour
RAt                                               harbour
RDDSYS                                            harbour
RLock                                             harbour
RTrim                                             harbour
RadGrDefCo                                        harbour
RadItDefCo                                        harbour
RadioButto                                        harbour
RadioButton                                       harbour
RadioGroup                                        harbour
RangeCheck                                        harbour
ReadExit                                          harbour
ReadFormat                                        harbour
ReadInsert                                        harbour
ReadKey                                           harbour
ReadKill                                          harbour
ReadModal                                         harbour
ReadStats                                         harbour
ReadUpdated                                       harbour
ReadVar                                           harbour
RecCount                                          harbour
RecNo                                             harbour
RecSize                                           harbour
Replicate                                         harbour
RestScreen                                        harbour
Right                                             harbour
Round                                             harbour
Row                                               harbour
SDF                                               harbour
SIXCDX                                            harbour
SToD                                              harbour
SYMBOL                                            harbour
SYSINIT                                           harbour
SaveScreen                                        harbour
Scroll                                            harbour
ScrollBar                                         harbour
Seconds                                           harbour
Secs                                              harbour
Select                                            harbour
Set                                               harbour
SetBlink                                          harbour
SetCancel                                         harbour
SetClrPair                                        harbour
SetColor                                          harbour
SetCursor                                         harbour
SetKey                                            harbour
SetMode                                           harbour
SetPRC                                            harbour
SetPos                                            harbour
SetPosBS                                          harbour
SetTypeahead                                      harbour
ShowGetMsg                                        harbour
ShowMsg                                           harbour
SoundEx                                           harbour
Space                                             harbour
Sqrt                                              harbour
